Región,Distrito,Municipio Escolar,Código de la Escuela,Nombre Escuela,Matrícula M1,Matrícula M1 entre 5 y 17 años de edad,M1 entre 5 y 17 años de edad Bajo Nivel Pobreza,Porcentaje de Estudiantes Bajo el Nivel de Pobreza (BNP)
ARECIBO,ARECIBO,ARECIBO I,10017,FELIX ROSARIO RIOS (ESPECIALIZADA BILINGUE),216,198,117,59.09%
ARECIBO,ARECIBO,ARECIBO I,10058,S. U. RAMON E. BETANCES,360,350,264,75.43%
ARECIBO,ARECIBO,ARECIBO I,10108,LOS CAÑOS,146,136,109,80.15%
ARECIBO,ARECIBO,ARECIBO I,10124,JUSTINIANO TORRES,116,111,94,84.68%
ARECIBO,ARECIBO,ARECIBO I,10215,DOMINGO RUIZ,188,184,139,75.54%
ARECIBO,ARECIBO,ARECIBO I,10272,S. U. EUGENIO MARIA DE HOSTOS,529,523,387,74%
ARECIBO,ARECIBO,ARECIBO I,10322,S. U. ENRIQUE DE JESUS BORRAS,289,286,229,80.07%
ARECIBO,ARECIBO,ARECIBO I,10405,LUIS FELIPE PEREZ,200,193,168,87.05%
ARECIBO,ARECIBO,ARECIBO I,10488,ROSA L. RIVERA SERRANO (S. U. RIO ARRIBA),123,110,78,70.91%
ARECIBO,ARECIBO,ARECIBO I,10520,S. U. DIEGO BRAVO,203,198,151,76.26%
ARECIBO,ARECIBO,ARECIBO I,10546,S. U. FEDERICO DEGETAU,471,452,337,74.56%
ARECIBO,ARECIBO,ARECIBO I,10637,ANGELICA GOMEZ BETANCOURT,112,101,84,83.17%
ARECIBO,ARECIBO,ARECIBO I,14241,TRINA PADILLA DE SANZ,297,286,235,82.17%
ARECIBO,ARECIBO,ARECIBO I,15461,MARIA CATALINA TEJADA,140,127,96,75.59%
ARECIBO,ARECIBO,ARECIBO I,17558,SUPERIOR VOC.NUEVA (ANTONIO LUCHETTI),1120,1074,714,66.48%
ARECIBO,ARECIBO,ARECIBO I,17780,ELEMENTAL NUEVA (FACTOR V),451,433,258,59.58%
ARECIBO,ARECIBO,ARECIBO II,10082,DR. FRANCISCO M. SUSONI,285,270,199,73.7%
ARECIBO,ARECIBO,ARECIBO II,10173,COTTO ANEXO,43,29,23,79.31%
ARECIBO,ARECIBO,ARECIBO II,10207,DOLORES GOMEZ DE ROMAN,195,186,149,80.11%
ARECIBO,ARECIBO,ARECIBO II,10314,JULIO SEIJO,279,265,185,69.81%
ARECIBO,ARECIBO,ARECIBO II,10348,JOSE GUALBERTO PADILLA,280,280,263,93.93%
ARECIBO,ARECIBO,ARECIBO II,10355,JOHN W. HARRIS,263,248,223,89.92%
ARECIBO,ARECIBO,ARECIBO II,10363,THOMAS JEFFERSON,269,269,209,77.7%
ARECIBO,ARECIBO,ARECIBO II,10439,S. U. DR. CAYETANO COLL Y TOSTE,587,576,399,69.27%
ARECIBO,ARECIBO,ARECIBO II,10512,S. U. MANUEL RUIZ GANDIA,598,584,421,72.09%
ARECIBO,ARECIBO,ARECIBO II,10611,VICTOR ROJAS #1,77,73,68,93.15%
ARECIBO,ARECIBO,ARECIBO II,10629,VICTOR ROJAS #2,265,252,191,75.79%
ARECIBO,ARECIBO,ARECIBO II,14381,CENTRO PRE-VOC. JOSE LIMON ARCE,38,38,36,94.74%
ARECIBO,ARECIBO,ARECIBO II,14563,MARTIN DELGADO DELGADO,121,121,89,73.55%
ARECIBO,ARECIBO,ARECIBO II,14787,FRANCISCO G. PACHIN MARIN,429,407,258,63.39%
ARECIBO,ARECIBO,ARECIBO II,15024,ELBA LUGO CARRION ,337,316,167,52.85%
ARECIBO,ARECIBO,ARECIBO II,15701,LUIS MUÑOZ RIVERA,113,103,69,66.99%
ARECIBO,ARECIBO,ARECIBO II,15784,ABELARDO MARTINEZ OTERO,418,415,273,65.78%
ARECIBO,ARECIBO,ARECIBO II,17111,LUIS MUÑOZ MARIN,268,268,211,78.73%
ARECIBO,ARECIBO,ARECIBO II,17749,S. U. BARRIO SABANA HOYOS (NUEVA),736,722,548,75.9%
ARECIBO,ARECIBO,ARECIBO II,18192,SUPERIOR MARIA CADILLA DE HERNANDEZ,523,505,414,81.98%
ARECIBO,ARECIBO,HATILLO,11353,MANUEL CORCHADO,120,115,102,88.7%
ARECIBO,ARECIBO,HATILLO,11387,LUIS MELENDEZ RODRIGUEZ ELEM.,276,263,221,84.03%
ARECIBO,ARECIBO,HATILLO,11395,LUIS MUÑOZ RIVERA,326,315,249,79.05%
ARECIBO,ARECIBO,HATILLO,11403,EUGENIO MARIA DE HOSTOS,335,320,260,81.25%
ARECIBO,ARECIBO,HATILLO,11411,CARMEN N PERAZA TOLEDO,240,227,172,75.77%
ARECIBO,ARECIBO,HATILLO,11437,ADRIAN MARTINEZ GANDIA,201,181,156,86.19%
ARECIBO,ARECIBO,HATILLO,11445,JULIET A. CASEY,269,264,233,88.26%
ARECIBO,ARECIBO,HATILLO,11460,ROSA E. MOLINARI,150,135,113,83.7%
ARECIBO,ARECIBO,HATILLO,11478,JOAQUIN RODRIGUEZ RUIZ,274,265,212,80%
ARECIBO,ARECIBO,HATILLO,11494,S. U. RAFAEL ZAMOT CRUZ,334,321,279,86.92%
ARECIBO,ARECIBO,HATILLO,11502,TIMOTEO ( TITO ) DELGADO,461,461,351,76.14%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,293,284,231,81.34%
ARECIBO,ARECIBO,HATILLO,15768,JOSE GAUTIER BENITEZ,287,275,220,80%
ARECIBO,ARECIBO,HATILLO,17301,LUIS MELENDEZ RODRIGUEZ INTERMEDIA,343,343,228,66.47%
ARECIBO,ARECIBO,HATILLO,17772,PADRE ANIBAL REYES BELEN (SUP NUEVA),708,689,482,69.96%
ARECIBO,CAMUY,CAMUY,10850,JOSE M. HERNANDEZ,133,128,105,82.03%
ARECIBO,CAMUY,CAMUY,10892,S. U. JOAQUIN VAZQUEZ CRUZ ,442,429,335,78.09%
ARECIBO,CAMUY,CAMUY,10926,PABLO AVILA GONZALEZ,348,346,274,79.19%
ARECIBO,CAMUY,CAMUY,10942,JULIAN BLANCO,78,75,63,84%
ARECIBO,CAMUY,CAMUY,10959,LAURENTINO ESTRELLA,233,227,164,72.25%
ARECIBO,CAMUY,CAMUY,10967,RALPH W. EMERSON,402,395,253,64.05%
ARECIBO,CAMUY,CAMUY,11023,S. U. ANTONIO REYES,642,629,429,68.2%
ARECIBO,CAMUY,CAMUY,11031,S. U. SANTIAGO R. PALMER,424,418,330,78.95%
