Región,Distrito,Municipio,Código Escuela,Nombre Escuela,Sub-grupo,Total de Graduados,Total en el Cohorte,Tasa de Graduación (%)
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,TODOS LOS ESTUDIANTES,219,298,73.48%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,IMPEDIDOS,36,57,63.15%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,POR DEBAJO DEL NIVEL DE POBREZA,157,216,72.68%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,2,4,50%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,PUERTORRIQUEÑOS,208,281,74.02%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,HISPANOS NO PUERTORRIQUEÑOS,10,14,71.42%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,BLANCOS NO HISPANOS,0,2,0%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,OTRO ORIGEN ÉTNICO,1,1,100%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,FEMENINO,111,136,81.61%
ARECIBO,MANATI,BARCELONETA,10702,FERNANDO SURIA CHAVES,MASCULINO,108,162,66.66%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,TODOS LOS ESTUDIANTES,144,199,72.36%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,IMPEDIDOS,30,50,60%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,POR DEBAJO DEL NIVEL DE POBREZA,105,146,71.91%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,3,4,75%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,PUERTORRIQUEÑOS,144,197,73.09%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,HISPANOS NO PUERTORRIQUEÑOS,0,2,0%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,FEMENINO,81,100,81%
ARECIBO,MANATI,FLORIDA,10827,JUAN PONCE DE LEON II,MASCULINO,63,99,63.63%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,TODOS LOS ESTUDIANTES,89,141,63.12%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,IMPEDIDOS,16,29,55.17%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,POR DEBAJO DEL NIVEL DE POBREZA,72,116,62.06%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,PUERTORRIQUEÑOS,84,135,62.22%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,HISPANOS NO PUERTORRIQUEÑOS,5,6,83.33%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,OTRO ORIGEN ÉTNICO,0,0,0%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,FEMENINO,55,89,61.79%
ARECIBO,ARECIBO,HATILLO,11528,LORENZO COBALLES GANDIA,MASCULINO,34,52,65.38%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,TODOS LOS ESTUDIANTES,33,44,75%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,IMPEDIDOS,7,11,63.63%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,POR DEBAJO DEL NIVEL DE POBREZA,28,37,75.67%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,LIMITACIONES LINGÜÍSTICAS EN ESPAÑOL,0,0,0%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,PUERTORRIQUEÑOS,33,43,76.74%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,HISPANOS NO PUERTORRIQUEÑOS,0,1,0%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,BLANCOS NO HISPANOS,0,0,0%
ARECIBO,CAMUY,LARES,11593,GABRIELA MISTRAL,OTRO ORIGEN ÉTNICO,0,0,0%
